ngo_name,darpan_id,state,district,sector,legal_form,year_of_reg,fcra_status,is_active,source,ngo_age_years,is_old_ngo,fcra_registered,sector_enc,legal_form_enc,state_enc
Lok Women Empowerment Development Institute,DE/1996/0001143,Delhi,Delhi District 4,Women Empowerment,Section 8 Company,1996,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,0,10,0,1
Sarva Women Empowerment Welfare Organization,DE/2016/0001144,Delhi,Delhi District 11,Women Empowerment,Trust,2016,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,10,2,1
Unnati Education Samiti,DE/2006/0001145,Delhi,Delhi District 12,Education,Trust,2006,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,0,3,2,1
Jan Education Trust,DE/1996/0001146,Delhi,Delhi District 12,Education,Society,1996,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,1,3,1,1
Sarva Healthcare Foundation,DE/2012/0001147,Delhi,Delhi District 14,Healthcare,Section 8 Company,2012,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,1,5,0,1
Pragati Healthcare Development Institute,DE/2022/0001148,Delhi,Delhi District 7,Healthcare,Trust,2022,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,1,5,2,1
Jan Education Welfare Organization,DE/2013/0001149,Delhi,Delhi District 4,Education,Trust,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,3,2,1
Manav Disaster Management Welfare Organization,UT/1991/0001150,Uttar Pradesh,Uttar Pradesh District 20,Disaster Management,Section 8 Company,1991,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,0,2,0,10
Sahyog Education Foundation,UT/2009/0001151,Uttar Pradesh,Uttar Pradesh District 11,Education,Trust,2009,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,0,3,2,10
Nari Disaster Management Society,UT/1991/0001152,Uttar Pradesh,Uttar Pradesh District 3,Disaster Management,Society,1991,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,1,2,1,10
Bal Disaster Management Samiti,UT/2013/0001153,Uttar Pradesh,Uttar Pradesh District 10,Disaster Management,Trust,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,2,2,10
Manav Rural Development Trust,UT/1993/0001154,Uttar Pradesh,Uttar Pradesh District 3,Rural Development,Society,1993,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,1,7,1,10
Shakti Disaster Management Seva Sansthan,UT/2022/0001155,Uttar Pradesh,Uttar Pradesh District 4,Disaster Management,Trust,2022,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,1,2,2,10
Swasthya Disaster Management Development Institute,UT/1992/0001156,Uttar Pradesh,Uttar Pradesh District 8,Disaster Management,Section 8 Company,1992,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,0,2,0,10
Samaj Rural Development Foundation,UT/2003/0001157,Uttar Pradesh,Uttar Pradesh District 5,Rural Development,Society,2003,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,0,7,1,10
Kalyan Rural Development Charitable Trust,UT/2017/0001158,Uttar Pradesh,Uttar Pradesh District 6,Rural Development,Society,2017,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,0,7,1,10
Sarva Healthcare Welfare Organization,UT/1992/0001159,Uttar Pradesh,Uttar Pradesh District 14,Healthcare,Society,1992,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,0,5,1,10
Shiksha Disaster Management Charitable Trust,UT/2016/0001160,Uttar Pradesh,Uttar Pradesh District 10,Disaster Management,Section 8 Company,2016,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,2,0,10
Asha Education Charitable Trust,UT/2013/0001161,Uttar Pradesh,Uttar Pradesh District 3,Education,Section 8 Company,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,3,0,10
Swasthya Disaster Management Welfare Organization,UT/1995/0001162,Uttar Pradesh,Uttar Pradesh District 13,Disaster Management,Section 8 Company,1995,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,2,0,10
Sewa Healthcare Welfare Organization,UT/1997/0001163,Uttar Pradesh,Uttar Pradesh District 17,Healthcare,Society,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,5,1,10
Vikas Education Charitable Trust,UT/2006/0001164,Uttar Pradesh,Uttar Pradesh District 7,Education,Society,2006,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,1,3,1,10
Jeevan Education Trust,UT/2018/0001165,Uttar Pradesh,Uttar Pradesh District 19,Education,Section 8 Company,2018,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,3,0,10
Samaj Healthcare Charitable Trust,UT/2020/0001166,Uttar Pradesh,Uttar Pradesh District 15,Healthcare,Society,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,5,1,10
Sahyog Healthcare Foundation,UT/2019/0001167,Uttar Pradesh,Uttar Pradesh District 15,Healthcare,Section 8 Company,2019,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,1,5,0,10
Vikas Rural Development Development Institute,UT/1995/0001168,Uttar Pradesh,Uttar Pradesh District 20,Rural Development,Section 8 Company,1995,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,7,0,10
Unnati Rural Development Seva Sansthan,UT/2002/0001169,Uttar Pradesh,Uttar Pradesh District 11,Rural Development,Trust,2002,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,0,7,2,10
Lok Rural Development Society,UT/2011/0001170,Uttar Pradesh,Uttar Pradesh District 3,Rural Development,Trust,2011,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,1,7,2,10
Nari Education Foundation,UT/2018/0001171,Uttar Pradesh,Uttar Pradesh District 17,Education,Section 8 Company,2018,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,3,0,10
Nari Healthcare Charitable Trust,UT/2011/0001172,Uttar Pradesh,Uttar Pradesh District 20,Healthcare,Trust,2011,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,0,5,2,10
Sewa Healthcare Trust,UT/2014/0001173,Uttar Pradesh,Uttar Pradesh District 10,Healthcare,Society,2014,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,0,5,1,10
Samaj Healthcare Society,UT/1999/0001174,Uttar Pradesh,Uttar Pradesh District 12,Healthcare,Society,1999,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,5,1,10
Unnati Rural Development Society,UT/2011/0001175,Uttar Pradesh,Uttar Pradesh District 5,Rural Development,Trust,2011,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,0,7,2,10
Lok Disaster Management Trust,UT/2013/0001176,Uttar Pradesh,Uttar Pradesh District 10,Disaster Management,Section 8 Company,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,2,0,10
Bal Disaster Management Charitable Trust,UT/1998/0001177,Uttar Pradesh,Uttar Pradesh District 5,Disaster Management,Society,1998,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,1,2,1,10
Swasthya Healthcare Foundation,UT/2014/0001178,Uttar Pradesh,Uttar Pradesh District 5,Healthcare,Section 8 Company,2014,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,1,5,0,10
Samaj Disaster Management Society,UT/2005/0001179,Uttar Pradesh,Uttar Pradesh District 15,Disaster Management,Society,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,2,1,10
Nav Education Welfare Organization,UT/2020/0001180,Uttar Pradesh,Uttar Pradesh District 7,Education,Trust,2020,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,3,2,10
Manav Disaster Management Seva Sansthan,UT/2022/0001181,Uttar Pradesh,Uttar Pradesh District 17,Disaster Management,Trust,2022,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,2,2,10
Nari Education Welfare Organization,UT/2020/0001182,Uttar Pradesh,Uttar Pradesh District 12,Education,Trust,2020,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,1,3,2,10
Swasthya Healthcare Trust,UT/2007/0001183,Uttar Pradesh,Uttar Pradesh District 15,Healthcare,Society,2007,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,0,5,1,10
Jeevan Rural Development Samiti,UT/2012/0001184,Uttar Pradesh,Uttar Pradesh District 1,Rural Development,Society,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,7,1,10
Unnati Education Charitable Trust,UT/2013/0001185,Uttar Pradesh,Uttar Pradesh District 8,Education,Trust,2013,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,3,2,10
Swasthya Education Charitable Trust,UT/2020/0001186,Uttar Pradesh,Uttar Pradesh District 5,Education,Society,2020,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,1,3,1,10
Jan Rural Development Seva Sansthan,UT/2003/0001187,Uttar Pradesh,Uttar Pradesh District 5,Rural Development,Society,2003,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,1,7,1,10
Samaj Rural Development Samiti,UT/1997/0001188,Uttar Pradesh,Uttar Pradesh District 2,Rural Development,Trust,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,7,2,10
Samaj Rural Development Seva Sansthan,UT/2021/0001189,Uttar Pradesh,Uttar Pradesh District 20,Rural Development,Society,2021,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,0,7,1,10
Lok Education Welfare Organization,UT/2012/0001190,Uttar Pradesh,Uttar Pradesh District 8,Education,Trust,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,3,2,10
Nari Healthcare Trust,UT/2022/0001191,Uttar Pradesh,Uttar Pradesh District 17,Healthcare,Society,2022,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,5,1,10
Unnati Rural Development Seva Sansthan,UT/2013/0001192,Uttar Pradesh,Uttar Pradesh District 9,Rural Development,Section 8 Company,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,7,0,10
Vikas Healthcare Trust,UT/1996/0001193,Uttar Pradesh,Uttar Pradesh District 19,Healthcare,Society,1996,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,0,5,1,10
Sewa Rural Development Society,UT/2001/0001194,Uttar Pradesh,Uttar Pradesh District 15,Rural Development,Trust,2001,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,7,2,10
Jan Education Society,UT/2019/0001195,Uttar Pradesh,Uttar Pradesh District 2,Education,Society,2019,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,0,3,1,10
Pragati Rural Development Welfare Organization,UT/2022/0001196,Uttar Pradesh,Uttar Pradesh District 13,Rural Development,Trust,2022,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,7,2,10
Sarva Healthcare Seva Sansthan,UT/2002/0001197,Uttar Pradesh,Uttar Pradesh District 10,Healthcare,Society,2002,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,0,5,1,10
Pragati Healthcare Charitable Trust,UT/2017/0001198,Uttar Pradesh,Uttar Pradesh District 13,Healthcare,Society,2017,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,0,5,1,10
Unnati Education Charitable Trust,UT/2013/0001199,Uttar Pradesh,Uttar Pradesh District 17,Education,Trust,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,3,2,10
Shiksha Education Samiti,MA/2001/0001200,Maharashtra,Maharashtra District 18,Education,Trust,2001,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,3,2,6
Swasthya Environment Trust,MA/2018/0001201,Maharashtra,Maharashtra District 20,Environment,Section 8 Company,2018,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,1,4,0,6
Nari Environment Seva Sansthan,MA/2012/0001202,Maharashtra,Maharashtra District 20,Environment,Trust,2012,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,1,4,2,6
Sahyog Education Foundation,MA/2013/0001203,Maharashtra,Maharashtra District 17,Education,Section 8 Company,2013,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,3,0,6
Nari Healthcare Foundation,MA/2018/0001204,Maharashtra,Maharashtra District 2,Healthcare,Section 8 Company,2018,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,5,0,6
Gram Environment Charitable Trust,MA/1992/0001205,Maharashtra,Maharashtra District 20,Environment,Trust,1992,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,0,4,2,6
Nav Environment Charitable Trust,MA/1998/0001206,Maharashtra,Maharashtra District 17,Environment,Trust,1998,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,0,4,2,6
Sewa Healthcare Development Institute,MA/2001/0001207,Maharashtra,Maharashtra District 16,Healthcare,Society,2001,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,1,5,1,6
Sarva Environment Trust,MA/2003/0001208,Maharashtra,Maharashtra District 20,Environment,Trust,2003,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,0,4,2,6
Jan Education Welfare Organization,MA/2018/0001209,Maharashtra,Maharashtra District 6,Education,Society,2018,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,3,1,6
Nav Environment Trust,MA/1994/0001210,Maharashtra,Maharashtra District 18,Environment,Section 8 Company,1994,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),31,1,0,4,0,6
Kalyan Healthcare Society,MA/1997/0001211,Maharashtra,Maharashtra District 7,Healthcare,Trust,1997,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,0,5,2,6
Gram Education Seva Sansthan,MA/2013/0001212,Maharashtra,Maharashtra District 15,Education,Trust,2013,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,3,2,6
Sarva Education Society,MA/2020/0001213,Maharashtra,Maharashtra District 17,Education,Society,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,3,1,6
Shakti Healthcare Trust,MA/2018/0001214,Maharashtra,Maharashtra District 15,Healthcare,Trust,2018,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,5,2,6
Vikas Healthcare Society,MA/1993/0001215,Maharashtra,Maharashtra District 4,Healthcare,Society,1993,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,5,1,6
Kalyan Healthcare Society,MA/2004/0001216,Maharashtra,Maharashtra District 12,Healthcare,Trust,2004,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,5,2,6
Lok Education Development Institute,MA/2007/0001217,Maharashtra,Maharashtra District 5,Education,Trust,2007,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,1,3,2,6
Samaj Healthcare Trust,MA/1999/0001218,Maharashtra,Maharashtra District 6,Healthcare,Section 8 Company,1999,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,5,0,6
Samaj Education Charitable Trust,MA/2006/0001219,Maharashtra,Maharashtra District 7,Education,Society,2006,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,1,3,1,6
Shakti Skill Development Foundation,MA/2009/0001220,Maharashtra,Maharashtra District 16,Skill Development,Section 8 Company,2009,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,0,8,0,6
Unnati Skill Development Development Institute,MA/2000/0001221,Maharashtra,Maharashtra District 15,Skill Development,Society,2000,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),25,1,0,8,1,6
Nav Environment Welfare Organization,MA/2010/0001222,Maharashtra,Maharashtra District 12,Environment,Section 8 Company,2010,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,1,4,0,6
Jeevan Education Charitable Trust,MA/1997/0001223,Maharashtra,Maharashtra District 9,Education,Trust,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,3,2,6
Jeevan Education Trust,MA/2016/0001224,Maharashtra,Maharashtra District 8,Education,Trust,2016,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,3,2,6
Nari Environment Charitable Trust,MA/2021/0001225,Maharashtra,Maharashtra District 17,Environment,Society,2021,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,0,4,1,6
Kalyan Education Seva Sansthan,MA/2022/0001226,Maharashtra,Maharashtra District 15,Education,Society,2022,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,3,1,6
Bal Education Charitable Trust,MA/2020/0001227,Maharashtra,Maharashtra District 10,Education,Society,2020,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,1,3,1,6
Swasthya Healthcare Samiti,MA/2015/0001228,Maharashtra,Maharashtra District 12,Healthcare,Trust,2015,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,0,5,2,6
Pragati Environment Welfare Organization,MA/2014/0001229,Maharashtra,Maharashtra District 17,Environment,Section 8 Company,2014,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,1,4,0,6
Sarva Education Development Institute,MA/2015/0001230,Maharashtra,Maharashtra District 12,Education,Society,2015,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,0,3,1,6
Sewa Healthcare Charitable Trust,MA/2015/0001231,Maharashtra,Maharashtra District 17,Healthcare,Society,2015,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,0,5,1,6
Pragati Environment Society,MA/1999/0001232,Maharashtra,Maharashtra District 20,Environment,Trust,1999,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,4,2,6
Jeevan Environment Charitable Trust,MA/2009/0001233,Maharashtra,Maharashtra District 19,Environment,Society,2009,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,0,4,1,6
Lok Environment Seva Sansthan,MA/2013/0001234,Maharashtra,Maharashtra District 11,Environment,Trust,2013,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,4,2,6
Shakti Education Development Institute,MA/2004/0001235,Maharashtra,Maharashtra District 2,Education,Section 8 Company,2004,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,3,0,6
Nari Healthcare Samiti,MA/1997/0001236,Maharashtra,Maharashtra District 7,Healthcare,Section 8 Company,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,5,0,6
Sewa Healthcare Samiti,MA/2016/0001237,Maharashtra,Maharashtra District 17,Healthcare,Trust,2016,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,5,2,6
Jan Healthcare Foundation,MA/2010/0001238,Maharashtra,Maharashtra District 16,Healthcare,Section 8 Company,2010,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,1,5,0,6
Sewa Skill Development Society,MA/2012/0001239,Maharashtra,Maharashtra District 9,Skill Development,Section 8 Company,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,8,0,6
Bal Environment Welfare Organization,MA/2009/0001240,Maharashtra,Maharashtra District 10,Environment,Section 8 Company,2009,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,1,4,0,6
Jan Skill Development Charitable Trust,MA/2007/0001241,Maharashtra,Maharashtra District 10,Skill Development,Trust,2007,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,0,8,2,6
Sarva Skill Development Samiti,MA/1999/0001242,Maharashtra,Maharashtra District 10,Skill Development,Trust,1999,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,8,2,6
Shiksha Skill Development Charitable Trust,MA/2020/0001243,Maharashtra,Maharashtra District 7,Skill Development,Section 8 Company,2020,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,1,8,0,6
Sarva Environment Development Institute,MA/2005/0001244,Maharashtra,Maharashtra District 8,Environment,Society,2005,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,1,4,1,6
Lok Healthcare Welfare Organization,MA/2011/0001245,Maharashtra,Maharashtra District 16,Healthcare,Society,2011,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,1,5,1,6
Jeevan Healthcare Foundation,MA/2020/0001246,Maharashtra,Maharashtra District 16,Healthcare,Trust,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,5,2,6
Kalyan Environment Charitable Trust,MA/1995/0001247,Maharashtra,Maharashtra District 19,Environment,Section 8 Company,1995,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,1,4,0,6
Pragati Skill Development Society,MA/1992/0001248,Maharashtra,Maharashtra District 13,Skill Development,Society,1992,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,0,8,1,6
Nari Education Development Institute,MA/1996/0001249,Maharashtra,Maharashtra District 11,Education,Society,1996,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,1,3,1,6
Sarva Healthcare Seva Sansthan,KA/2002/0001250,Karnataka,Karnataka District 4,Healthcare,Section 8 Company,2002,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,0,5,0,4
Nav Healthcare Development Institute,KA/2008/0001251,Karnataka,Karnataka District 19,Healthcare,Society,2008,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),17,1,0,5,1,4
Bal Environment Society,KA/1995/0001252,Karnataka,Karnataka District 13,Environment,Trust,1995,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,4,2,4
Nari Environment Society,KA/1990/0001253,Karnataka,Karnataka District 9,Environment,Trust,1990,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,4,2,4
Nav Women Empowerment Development Institute,KA/1990/0001254,Karnataka,Karnataka District 9,Women Empowerment,Trust,1990,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,10,2,4
Gram Education Foundation,KA/2015/0001255,Karnataka,Karnataka District 17,Education,Trust,2015,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,0,3,2,4
Kalyan Women Empowerment Trust,KA/2004/0001256,Karnataka,Karnataka District 5,Women Empowerment,Trust,2004,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,10,2,4
Nav Environment Charitable Trust,KA/2020/0001257,Karnataka,Karnataka District 18,Environment,Section 8 Company,2020,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,4,0,4
Bal Education Welfare Organization,KA/2013/0001258,Karnataka,Karnataka District 3,Education,Section 8 Company,2013,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,3,0,4
Swasthya Healthcare Foundation,KA/2000/0001259,Karnataka,Karnataka District 11,Healthcare,Section 8 Company,2000,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),25,1,0,5,0,4
Nav Healthcare Trust,KA/1995/0001260,Karnataka,Karnataka District 17,Healthcare,Section 8 Company,1995,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,5,0,4
Pragati Healthcare Seva Sansthan,KA/1993/0001261,Karnataka,Karnataka District 18,Healthcare,Section 8 Company,1993,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,5,0,4
Kalyan Environment Foundation,KA/2003/0001262,Karnataka,Karnataka District 19,Environment,Trust,2003,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,0,4,2,4
Shakti Education Charitable Trust,KA/1994/0001263,Karnataka,Karnataka District 16,Education,Section 8 Company,1994,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),31,1,0,3,0,4
Shakti Healthcare Society,KA/2016/0001264,Karnataka,Karnataka District 12,Healthcare,Section 8 Company,2016,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,5,0,4
Unnati Environment Seva Sansthan,KA/1998/0001265,Karnataka,Karnataka District 12,Environment,Trust,1998,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,1,4,2,4
Sarva Healthcare Samiti,KA/1990/0001266,Karnataka,Karnataka District 1,Healthcare,Section 8 Company,1990,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,5,0,4
Nav Environment Samiti,KA/2012/0001267,Karnataka,Karnataka District 5,Environment,Society,2012,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,1,4,1,4
Swasthya Environment Foundation,KA/1991/0001268,Karnataka,Karnataka District 8,Environment,Section 8 Company,1991,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,0,4,0,4
Swasthya Environment Foundation,KA/1993/0001269,Karnataka,Karnataka District 8,Environment,Section 8 Company,1993,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,4,0,4
Unnati Healthcare Seva Sansthan,KA/1993/0001270,Karnataka,Karnataka District 5,Healthcare,Section 8 Company,1993,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,1,5,0,4
Kalyan Women Empowerment Welfare Organization,KA/2010/0001271,Karnataka,Karnataka District 8,Women Empowerment,Section 8 Company,2010,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,0,10,0,4
Jeevan Environment Welfare Organization,KA/2001/0001272,Karnataka,Karnataka District 14,Environment,Trust,2001,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,1,4,2,4
Pragati Environment Charitable Trust,KA/2016/0001273,Karnataka,Karnataka District 14,Environment,Section 8 Company,2016,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,4,0,4
Unnati Environment Society,KA/2009/0001274,Karnataka,Karnataka District 5,Environment,Society,2009,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,0,4,1,4
Pragati Environment Samiti,KA/2014/0001275,Karnataka,Karnataka District 8,Environment,Section 8 Company,2014,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,0,4,0,4
Sewa Environment Trust,KA/2002/0001276,Karnataka,Karnataka District 2,Environment,Trust,2002,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,1,4,2,4
Samaj Education Foundation,KA/2003/0001277,Karnataka,Karnataka District 16,Education,Society,2003,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,0,3,1,4
Sewa Education Development Institute,KA/1997/0001278,Karnataka,Karnataka District 16,Education,Society,1997,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,0,3,1,4
Samaj Environment Welfare Organization,KA/2008/0001279,Karnataka,Karnataka District 13,Environment,Society,2008,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),17,1,0,4,1,4
